# r numerical exact
0.367957 0.25468 0.25468
0.368546 0.254937 0.254938
0.369136 0.255195 0.255195
0.369726 0.255452 0.255452
0.370316 0.255708 0.255709
0.370906 0.255965 0.255966
0.371497 0.256221 0.256222
0.372088 0.256477 0.256478
0.372679 0.256733 0.256733
0.37327 0.256988 0.256989
0.373862 0.257243 0.257244
0.374453 0.257498 0.257498
0.375045 0.257752 0.257753
0.375637 0.258006 0.258007
0.37623 0.25826 0.258261
0.376822 0.258514 0.258514
0.377415 0.258767 0.258768
0.378008 0.25902 0.259021
0.378601 0.259273 0.259273
0.379195 0.259525 0.259526
0.379789 0.259777 0.259778
0.380383 0.260029 0.260029
0.380977 0.26028 0.260281
0.381571 0.260531 0.260532
0.382166 0.260782 0.260783
0.382761 0.261033 0.261034
0.383356 0.261283 0.261284
0.383951 0.261533 0.261534
0.384547 0.261783 0.261784
0.385142 0.262032 0.262033
0.385738 0.262281 0.262282
0.386335 0.26253 0.262531
0.386931 0.262779 0.26278
0.387528 0.263027 0.263028
0.388125 0.263275 0.263276
0.388722 0.263523 0.263523
0.389319 0.26377 0.263771
0.389917 0.264017 0.264018
0.390515 0.264264 0.264265
0.391113 0.26451 0.264511
0.391711 0.264756 0.264757
0.39231 0.265002 0.265003
0.392908 0.265248 0.265249
0.393508 0.265493 0.265494
0.394107 0.265738 0.265739
0.394706 0.265983 0.265984
0.395306 0.266227 0.266228
0.395906 0.266472 0.266472
0.396506 0.266715 0.266716
0.397107 0.266959 0.26696
0.397707 0.267202 0.267203
0.398308 0.267445 0.267446
0.39891 0.267688 0.267689
0.399511 0.26793 0.267931
0.400113 0.268172 0.268173
0.400714 0.268414 0.268415
0.401317 0.268656 0.268657
0.401919 0.268897 0.268898
0.402522 0.269138 0.269139
0.403125 0.269379 0.269379
0.403728 0.269619 0.26962
0.404331 0.269859 0.26986
0.404935 0.270099 0.2701
0.405538 0.270338 0.270339
0.406143 0.270577 0.270578
0.406747 0.270816 0.270817
0.407351 0.271055 0.271056
0.407956 0.271293 0.271294
0.408561 0.271531 0.271532
0.409167 0.271769 0.27177
0.409772 0.272007 0.272007
0.410378 0.272244 0.272245
0.410984 0.272481 0.272481
0.41159 0.272717 0.272718
0.412197 0.272953 0.272954
0.412804 0.273189 0.27319
0.413411 0.273425 0.273426
0.414018 0.273661 0.273661
0.414626 0.273896 0.273897
0.415234 0.274131 0.274131
0.415842 0.274365 0.274366
0.41645 0.274599 0.2746
0.417059 0.274833 0.274834
0.417668 0.275067 0.275068
0.418277 0.2753 0.275301
0.418886 0.275534 0.275534
0.419496 0.275766 0.275767
0.420105 0.275999 0.276
0.420716 0.276231 0.276232
0.421326 0.276463 0.276464
0.421937 0.276695 0.276696
0.422548 0.276926 0.276927
0.423159 0.277157 0.277158
0.42377 0.277388 0.277389
0.424382 0.277619 0.27762
0.424994 0.277849 0.27785
0.425606 0.278079 0.27808
0.426218 0.278308 0.278309
0.426831 0.278538 0.278539
0.427444 0.278767 0.278768
0.428057 0.278996 0.278997
0.428671 0.279224 0.279225
0.429285 0.279452 0.279453
0.429899 0.27968 0.279681
0.430513 0.279908 0.279909
0.431127 0.280135 0.280136
0.431742 0.280362 0.280363
0.432357 0.280589 0.28059
0.432973 0.280816 0.280817
0.433588 0.281042 0.281043
0.434204 0.281268 0.281269
0.43482 0.281493 0.281494
0.435437 0.281719 0.28172
0.436054 0.281944 0.281945
0.43667 0.282169 0.28217
0.437288 0.282393 0.282394
0.437905 0.282617 0.282618
0.438523 0.282841 0.282842
0.439141 0.283065 0.283066
0.439759 0.283288 0.283289
0.440378 0.283511 0.283512
0.440997 0.283734 0.283735
0.441616 0.283957 0.283958
0.442235 0.284179 0.28418
0.442855 0.284401 0.284402
0.443475 0.284622 0.284623
0.444095 0.284844 0.284845
0.444716 0.285065 0.285066
0.445337 0.285285 0.285286
0.445958 0.285506 0.285507
0.446579 0.285726 0.285727
0.447201 0.285946 0.285947
0.447823 0.286166 0.286167
0.448445 0.286385 0.286386
0.449067 0.286604 0.286605
0.44969 0.286823 0.286824
0.450313 0.287041 0.287042
0.450936 0.28726 0.287261
0.45156 0.287478 0.287479
0.452184 0.287695 0.287696
0.452808 0.287913 0.287914
0.453432 0.28813 0.288131
0.454057 0.288346 0.288347
0.454682 0.288563 0.288564
0.455307 0.288779 0.28878
0.455933 0.288995 0.288996
0.456559 0.289211 0.289212
0.457185 0.289426 0.289427
0.457811 0.289641 0.289642
0.458438 0.289856 0.289857
0.459065 0.29007 0.290071
0.459693 0.290285 0.290286
0.46032 0.290499 0.2905
0.460948 0.290712 0.290713
0.461576 0.290926 0.290927
0.462205 0.291139 0.29114
0.462833 0.291351 0.291352
0.463462 0.291564 0.291565
0.464092 0.291776 0.291777
0.464721 0.291988 0.291989
0.465351 0.2922 0.292201
0.465982 0.292411 0.292412
0.466612 0.292622 0.292623
0.467243 0.292833 0.292834
0.467874 0.293044 0.293045
0.468506 0.293254 0.293255
0.469137 0.293464 0.293465
0.469769 0.293674 0.293675
0.470402 0.293883 0.293884
0.471034 0.294092 0.294093
0.471667 0.294301 0.294302
0.4723 0.294509 0.29451
0.472934 0.294718 0.294719
0.473568 0.294926 0.294927
0.474202 0.295133 0.295134
0.474836 0.295341 0.295342
0.475471 0.295548 0.295549
0.476106 0.295755 0.295756
0.476741 0.295961 0.295962
0.477377 0.296168 0.296169
0.478013 0.296374 0.296375
0.478649 0.296579 0.29658
0.479285 0.296785 0.296786
0.479922 0.29699 0.296991
0.480559 0.297195 0.297196
0.481197 0.297399 0.2974
0.481835 0.297604 0.297605
0.482473 0.297808 0.297809
0.483111 0.298011 0.298013
0.48375 0.298215 0.298216
0.484389 0.298418 0.298419
0.485028 0.298621 0.298622
0.485668 0.298824 0.298825
0.486308 0.299026 0.299027
0.486948 0.299228 0.299229
0.487589 0.29943 0.299431
0.48823 0.299631 0.299632
0.488871 0.299832 0.299834
0.489512 0.300033 0.300034
0.490154 0.300234 0.300235
0.490796 0.300434 0.300435
0.491439 0.300634 0.300636
0.492082 0.300834 0.300835
0.492725 0.301034 0.301035
0.493368 0.301233 0.301234
0.494012 0.301432 0.301433
0.494656 0.30163 0.301632
0.4953 0.301829 0.30183
0.495945 0.302027 0.302028
0.49659 0.302225 0.302226
0.497236 0.302422 0.302423
