# r f1_num f1_exact f2_num f2_exact f3_num f3_exact
6.75 0.01578554781 0.01580687488 -0.3829902755 -0.3878899367 0.4183293904 -0.03422940225
6.8 0.0151225373 0.01514734201 -0.3779201795 -0.3851269569 0.4271815599 -0.02934102544
6.85 0.01448618997 0.01451454299 -0.3727853108 -0.3823214953 0.4355243707 -0.02443922053
6.9 0.01387546159 0.01390743892 -0.3675885505 -0.3794759132 0.4433502125 -0.01952636135
6.95 0.01328934548 0.01332502864 -0.3623327054 -0.3765925163 0.450652141 -0.01460477252
7 0.01272687126 0.01276634752 -0.3570205095 -0.3736735554 0.4574238769 -0.009676729438
7.05 0.01218710369 0.0122304663 -0.3516546235 -0.3707212262 0.4636598037 -0.004744458289
7.1 0.01166914148 0.01171648991 -0.3462376357 -0.3677376704 0.4693549657 0.0001898639098
7.15 0.01117211617 0.01122355636 -0.3407720626 -0.3647249761 0.4745050649 0.005124109222
7.2 0.010695191 0.01075083564 -0.3352603494 -0.3616851781 0.4791064573 0.01005619867
7.25 0.01023755986 0.01029752864 -0.3297048705 -0.3586202588 0.4831561485 0.01498410209
7.3 0.009798446221 0.009862866118 -0.3241079301 -0.3555321485 0.4866517893 0.01990583793
7.35 0.009377102107 0.009446107697 -0.318471763 -0.3524227264 0.4895916698 0.02481947305
7.4 0.008972807099 0.009046540865 -0.3127985353 -0.349293821 0.4919747138 0.02972312246
7.45 0.008584867365 0.008663480022 -0.3070903449 -0.3461472108 0.4938004724 0.03461494907
7.5 0.008212614714 0.008296265552 -0.3013492224 -0.3429846249 0.4950691167 0.03949316338
7.55 0.007855405678 0.007944262919 -0.2955771319 -0.3398077441 0.4957814305 0.04435602314
7.6 0.007512620612 0.007606861788 -0.2897759714 -0.3366182009 0.4959388021 0.04920183305
7.65 0.007183662832 0.007283475174 -0.283947574 -0.3334175809 0.4955432162 0.05402894436
7.7 0.006867957768 0.006973538616 -0.2780937085 -0.3302074231 0.4945972446 0.05883575448
7.75 0.006564952142 0.006676509379 -0.2722160803 -0.3269892208 0.4931040372 0.06362070661
7.8 0.006274113175 0.006391865672 -0.266316332 -0.3237644222 0.4910673119 0.06838228929
7.85 0.005994927808 0.006119105902 -0.2603960443 -0.3205344315 0.4884913445 0.07311903595
7.9 0.005726901958 0.005857747939 -0.2544567371 -0.3173006092 0.4853809582 0.07782952449
7.95 0.005469559783 0.005607328418 -0.24849987 -0.3140642731 0.4817415125 0.08251237677
8 0.005222442978 0.005367402046 -0.2425268432 -0.310826699 0.477578892 0.08716625816
8.05 0.004985110083 0.005137540952 -0.2365389984 -0.3075891216 0.4728994945 0.09178987703
8.1 0.004757135824 0.004917334037 -0.2305376198 -0.3043527349 0.4677102194 0.09638198424
8.15 0.004538110459 0.004706386362 -0.2245239347 -0.3011186934 0.4620184549 0.1009413726
8.2 0.004327639155 0.004504318548 -0.2184991142 -0.2978881125 0.4558320658 0.1054668765
8.25 0.004125341375 0.004310766195 -0.2124642747 -0.2946620694 0.4491593801 0.109957371
8.3 0.003930850289 0.00412537933 -0.2064204779 -0.291441604 0.4420091763 0.1144117717
8.35 0.003743812197 0.003947821858 -0.2003687323 -0.2882277194 0.43439067 0.1188290339
8.4 0.003563885976 0.003777771046 -0.1943099938 -0.2850213827 0.4263134997 0.1232081523
8.45 0.003390742534 0.00361491702 -0.1882451663 -0.2818235259 0.4177877134 0.1275481603
8.5 0.003224064288 0.003458962273 -0.182175103 -0.2786350465 0.4088237546 0.1318481291
8.55 0.003063544651 0.003309621202 -0.1761006067 -0.2754568083 0.3994324474 0.1361071677
8.6 0.002908887536 0.003166619651 -0.170022431 -0.2722896421 0.3896249828 0.1403244221
8.65 0.002759806877 0.003029694473 -0.1639412811 -0.2691343464 0.3794129036 0.1444990745
8.7 0.002616026154 0.002898593111 -0.1578578142 -0.265991688 0.3688080899 0.148630343
8.75 0.002477277941 0.00277307319 -0.1517726408 -0.2628624032 0.3578227439 0.1527174808
8.8 0.00234330346 0.002652902122 -0.145686325 -0.2597471978 0.3464693755 0.1567597759
8.85 0.002213852149 0.002537856732 -0.1395993857 -0.2566467484 0.3347607864 0.1607565501
8.9 0.002088681242 0.002427722891 -0.133512297 -0.2535617027 0.3227100556 0.1647071587
8.95 0.001967555355 0.002322295165 -0.1274254893 -0.2504926804 0.3103305238 0.1686109898
9 0.001850246085 0.002221376474 -0.1213393496 -0.2474402737 0.2976357783 0.1724674639
9.05 0.001736531622 0.002124777768 -0.1152542226 -0.2444050482 0.2846396372 0.176276033
